date_scraped,search_query,title,description,image_url,extra_images,product_url,affiliate_link,approved,posted
2026-03-04,Pool & spa accessories,"Intex PureSpa Attachable Cup Holder for Spa Wall, Pool and Hot Tub Accessory for Drinks that Holds 2 Standard Sized Beverages, Tan","Attachable Cup Holder: Convenient and good-looking beverage tray keeps refreshments within reach as you enjoy the warm, relaxing comfort of your spa | Holds Standard Drinks: Holds 2 standard-sized beverages containers in the cupholders and features a larger open area for other drinks, snacks, or items | Convenient: Securely attaches to the walls of your spa and removes for convenient storage; Dimensions (L x W x H): 10.25 x 8.60 x 7 inches | Laminated Construction: Durable laminated construction resists damage from water; Not for use with hot liquids, alcohol, glass, breakable cups, or electrical objects | Compatibility: Designed for use with Intex PureSpa models 28401, 28403, 28404, 28413, 28421, 28423, 28453",https://m.media-amazon.com/images/I/51B64fU6DeL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/31gc55sHcFL._AC_US100_.jpg | https://m.media-amazon.com/images/I/41vGd4OkVqL._AC_US100_.jpg | https://m.media-amazon.com/images/I/41qE+JpqqKL._AC_US100_.jpg | https://m.media-amazon.com/images/I/41U+y6WlooL._AC_US100_.jpg | https://m.media-amazon.com/images/I/41KQpyXo-0L._AC_US100_.jpg,https://www.amazon.com/Intex-PureSpa-Standard-Beverage-Containers/dp/B00OX5B8TA/ref=sr_1_1,https://amzn.to/4rI7AzW,yes,no
2026-03-04,Pool & spa accessories,"2 Pack Scumbug Hot Tub Scum Absorber – The Original, Highest Rated Scum Absorber Ever – Pool Sponge Oil Absorber for Hot Tub, Spa & Pool – Hot Tub Cleaning Tools That Soak Up Oil & Grime","SOAKS UP OILS, LOTIONS, POLLEN, & GRIME FROM WATER SURFACE – The Scumbug hot tub scum absorber traps sunscreen, body oils, and foam-causing contaminants from your pools, spas, and inflatable tubs. | EXCLUSIVE DESIGN – Our original and unique hot tub scum removing tech prevents scum rings and buildup while reducing the need for chemicals. | PREVENTS SCUMLINE & KEEPS WATER CLEAN – Simply drop it in and let Scumbug float. Our iconic device absorbs 40x its weight in contaminants without clogging filters or water lines. | REUSABLE & DURABLE HOT TUB ACCESSORY – Watch Scumbug soak up oil and grime from your water. To clean, simply rinse and squeeze, then toss back in for use all season! | SCUMBUG BY ROLA-CHEM IS THE ORIGINAL – Our TECHNOLOGY is the reason why we have the highest rated spa scum absorber on the market. Don’t settle for cheaply made knockoffs; keep your pool and spa crystal clear with the original Scumbug!",https://m.media-amazon.com/images/I/81HdZRLCeLL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/41MATqhacWL._AC_US100_.jpg | https://m.media-amazon.com/images/I/512+rC-wObL._AC_US100_.jpg | https://m.media-amazon.com/images/I/5189X2hFifL._AC_US100_.jpg | https://m.media-amazon.com/images/I/51ozl7cgbmL._AC_US100_.jpg | https://m.media-amazon.com/images/I/51ykDwKYEWL._AC_US100_.jpg,https://www.amazon.com/Rola-Chem-Scumbug-Oil-Absorbing-Sponge-Pack/dp/B00SYXDGPG/ref=sr_1_2,,no,no
2026-03-04,Pool & spa accessories,"Pool Lights, Upgraded Rechargeable Submersible LED Lights with Remote IP68 Waterproof 16 Colors Hot Tub Underwater Pool Lights for Above Ground Inground Pool, Bath, Party, Vase 2 Pack","NEWEST Rechargeable Submersible Lights: Our LED floating pool lights come with built-in Li-polymer batteries that can be conveniently recharged via any power source with a USB port (USB cable included). You'll never need to buy batteries again! With a full charge time of just 2.5 hours, these lights can continuously last up to 24 hours at their brightest setting and up to 100 hours at their dimmest setting. Plus, they're five times brighter than the AA version! | UPGRADED Waterproof and Adhesive: Each underwater pool light features a brand new integrated seal design, has passed the IP68 waterproof test and can be immersed in water 100% safely without any corrosion or water stains. Upgraded underwater glue, which is safe and harmless, no matter for smooth surface or textured surface, the glue forms a strong bond | Timer Function & Remote/Manual Control: RF remote control has a wider and deeper range, allowing for stable control of multiple underwater lights in one time. What's more, our submersible LED pond light comes with timer function (2H/4H/6H) that can automatically turn on/off devices at specific times, the memory function making life easier. The remote allows for easy control of color modes, brightness, and timing | Premium 13 LED Light Source: Our swimming pool lighting boasts 13 LED lamp beads that provide a bright and comfortable lighting experience without flicker or glare. Choose from 16 static color modes, 3 color-changing modes (Fade, Smooth, Flash), and 4 brightness levels to easily create a more beautiful atmosphere. Perfect for using as indoor/outdoor lighting, decorative lights, or night lighting | Wide Application: The waterproof LED underwater light has a wide range of applications, great for in-ground swimming pools, above-ground swimming pools, fish tanks, camping buckets, coolers, ponds, fountains, hot tubs, aquariums, disco bars, vases, festival lanterns, parties, and many other occasions. If you have any questions, please do not hesitate to get in touch with us",https://m.media-amazon.com/images/I/71fIXHUkHQL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/51ICZVN-VYL._AC_US100_.jpg | https://m.media-amazon.com/images/I/51NGFP9uvOL._AC_US100_.jpg | https://m.media-amazon.com/images/I/51uuvV97YKL._AC_US100_.jpg | https://m.media-amazon.com/images/I/513pvbnRxxL._AC_US100_.jpg | https://m.media-amazon.com/images/I/51GBzBr05AL._AC_US100_.jpg,https://www.amazon.com/UZOPI-Rechargeable-Submersible-Waterproof-Underwater/dp/B0BR57JFCC/ref=sr_1_3,,no,no
2026-03-04,Fountains & ponds,"TetraPond Pond Pump Fountain Set, Spray/Bell/Frothy Patterns","3 fountain including spray, bell and frothy patterns | Adjustable height allows for different pond depths | Flow control and diverter connects to 1/2 in., 3/4 in. and 1 in ID tubing going to statuary, filters, or waterfalls | Adapters are included to fit all WGP Water Garden Pumps",https://m.media-amazon.com/images/I/717BIhSc0VS._AC_UL320_.jpg,https://m.media-amazon.com/images/I/41MOwWRND7S._AC_SL500_.jpg | https://m.media-amazon.com/images/I/412Y5CWjHoS._AC_SL500_.jpg | https://m.media-amazon.com/images/I/61xpT6JLF-S._AC_SL500_.jpg | https://m.media-amazon.com/images/I/61+3VV9iFoS._AC_SL500_.jpg | https://m.media-amazon.com/images/I/41KrxvdOltS._AC_SL500_.jpg,https://www.amazon.com/TetraPond-Pond-Fountain-Frothy-Patterns/dp/B008A4S82A/ref=sr_1_1,,no,no
2026-03-04,Fountains & ponds,"AISITIN 3.5W Solar Fountain Pump Upgraded 2026, Solar Water Fountain DIY Kit with 8 Nozzles & 3 Fixed Bracket & 9.8ft Cord for Garden, Bird Bath, Ponds, Fish Tank, Aquarium, Courtyard and Outdoor","【✔Upgraded 3.5W high-efficiency solar panel】: This 3.5W 2-in-1 DIY solar bird bath fountain adopts upgraded high-efficiency solar panel, which has higher solar energy conversion efficiency. It sprays water quickly within 3 seconds under sunlight, the water flow is continuous and stable, and the maximum spray height is 85 cm/33.46 inches. It requires no extra batteries, is very environmentally friendly, and best of all, attracts lots of hummingbirds to your garden and backyard. | 【✔Unique DIY separated design】: The solar panel and water pump adopt a separated design. The water pump can be detached from the solar panel and connected by a long wire in the middle. You only need to place the solar panels under direct sunlight, and then the water pump and water feature can be placed anywhere to create a unique DIY water feature or water circulation system. This two-in-one mode of ""sunlight capture + shade placement"" greatly improves installation flexibility. | 【✔8 Different Water Styles】: The solar powered fountain is equipped with 8 different nozzles (rotating, double-layered, vertical, etc.), which can be easily replaced to create various water splash shapes, attracting cute little animals to play. Then, this 3.5W solar fountain is a quiet small fountain when it works, which will not disturb birds and neighbors, so it is very suitable for bird baths, gardens, water circulation systems, water features, fish ponds, ponds, backyards and other scenes. | 【✔3 Retractable and hidden fixed brackets】: There are 3 retractable fixed brackets on the side of the solar powered water fountain. The brackets can be adjusted at any angle to easily adapt to bird baths of various sizes. The brackets can be hidden on the solar fountain when not in use. After the 3 brackets are fully unfolded, the fountain can be fixed in the center of the bird bath without moving around and preventing water from splashing out, so you don't need to add water frequently. | 【✔Durable and Easy to Maintain】: The solar powered bird bath fountain is equipped with an upgraded filtering device, which can effectively block impurities and dirt from entering the water pump and ensure smooth water flow. The water pump is removable and cleanable, making it easy to install and maintain. By cleaning and changing the water regularly (to avoid dirt clogging), the service life of the fountain can be significantly extended and you will spend more happy time with it.",https://m.media-amazon.com/images/I/81HGTJNjM8L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/51clJ3j9B1L._AC_US100_.jpg | https://m.media-amazon.com/images/I/514TAfmIgdL._AC_US100_.jpg | https://m.media-amazon.com/images/I/61OeMb-HoQL._AC_US100_.jpg | https://m.media-amazon.com/images/I/514I1evW0CL._AC_US100_.jpg | https://m.media-amazon.com/images/I/6185pLrDJdL._AC_US100_.jpg,https://www.amazon.com/AISITIN-Fountain-Upgraded-Multiple-Nozzles/dp/B0BRMZCF3T/ref=sr_1_2,,no,no
2026-03-04,Fountains & ponds,"API POND ALGAEFIX Algae Control 32-Ounce Bottle, FISHAQUARI (169G)","Contains one (1) API POND ALGAEFIX Algae Control Solution 32-Ounce Bottle | Effectively eliminates green water algae, string and hair algae, blanketweed algae and others | Controls green water to keep pond water clean and clear in ornamental ponds and water gardens | Use as directed to keep water safe for fish, pond plants, surrounding wildlife and pets | Dose every three days until algae is controlled and then treat weekly",https://m.media-amazon.com/images/I/61BORrBx2YL._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/41plMJEFzDL._AC_SL500_.jpg | https://m.media-amazon.com/images/I/51nWzmYPcJL._AC_SL500_.jpg | https://m.media-amazon.com/images/I/51t5wPWsEYL._AC_SL500_.jpg | https://m.media-amazon.com/images/I/61Z3wCOdv8L._AC_SL500_.jpg | https://m.media-amazon.com/images/I/61w07wUqTwL.SS40_BG85,85,85_BR-120_PKdp-play-icon-overlay__.jpg",https://www.amazon.com/API-ALGAEFIX-Control-Solution-32-Ounce/dp/B000HCKVGE/ref=sr_1_3,,no,no
2026-03-04,Kitchen mats,"StepRite Kitchen Mats, 2PCS Kitchen Rugs, Cushioned Anti Fatigue Kitchen Mats for Floor, Non-Slip Standing Desk Mat, Waterproof Kitchen Rug Set for Kitchen, Floor, Office, 17.3""x30""+17.3""x47"", Black","Anti-Fatigue Comfort: StepRite 0.4 inch thick kitchen mat offers supportive cushioning that eases strain on your feet and joints, allowing you to stand comfortably for longer periods in the kitchen | Stain Resistant: Our kitchen mats have a stain-resistant texture that makes cleaning simple. Whether it’s water, wine, or other spills, you can easily wipe the mat clean with a damp cloth or rag | Non-Slip Design: This standing mat features non-slip backing to keep it securely in place on various surfaces like tile, wood, ceramic, and marble. For optimal safety, always place the kitchen mat on dry, flat surfaces | Reliable Material: StepRite kitchen rugs are crafted from premium material that maintains its shape and support over time, ensuring long-lasting performance without deterioration | Versatility: This anti-fatigue mat is perfect for multiple areas, including the kitchen, laundry room, office desk, doorways, and balconies. It provides a spacious standing area, making it a practical addition for various tasks at home or in the office",https://m.media-amazon.com/images/I/81NRhd43iAL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/51V1BHC9wWL._AC_US100_.jpg | https://m.media-amazon.com/images/I/51LEOWpv0zL._AC_US100_.jpg | https://m.media-amazon.com/images/I/51FsF5uyL2L._AC_US100_.jpg | https://m.media-amazon.com/images/I/51IBnv8Wm+L._AC_US100_.jpg | https://m.media-amazon.com/images/I/51BvwG3zbyL._AC_US100_.jpg,https://www.amazon.com/StepRite-Cushioned-Non-Slip-Standing-Waterproof/dp/B0C2Y3T5LN/ref=sr_1_1,,no,no
2026-03-04,Kitchen mats,"KitchenClouds Kitchen Mat Cushioned Anti Fatigue Rug 17.3""x28"" Water Resistant, Non Slip, Standing and Comfort Desk/Floor Mats for House Sink Office (Black)","Comfort and Quality: the kitchen rug is made of high-quality, soft PVC foam which provides a thick cushion to provide support and comfort when standing; relieves pressure on muscles and joints, and alleviates foot, knee, leg and back discomfort | Safety Design: the diamond-shaped design on the bottom of anti fatigue mats keeps the mat in place and prevents slippage; the bevel edge reduces the risk of tripping on the mat | Easy to Clean: the surface material of the kitchen mats is made to deter dust and debris and the water resistant material is easy to clean; simply wipe with a wet cloth, vacuum or sweep to keep clean | Wide Variety of Uses: the neutral tone matches any décor and may be used in any area of your home such as kitchen, office, workstation, etc. the comfortable and kitchen floor mat makes it easy to stand for long periods of time while cooking, cleaning, etc | Tips: open rug fully and place on even, flat, dry floor; water under rug may result in slippage; if creases are present upon unfolding, lay the kitchen rug flat and use a hairdryer on a warm setting to blow, which will remove folds quickly",https://m.media-amazon.com/images/I/71nVT-klNdL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/41pd+BV0uDL._AC_US100_.jpg | https://m.media-amazon.com/images/I/41vGDiWancL._AC_US100_.jpg | https://m.media-amazon.com/images/I/41CfXs2UIjL._AC_US100_.jpg | https://m.media-amazon.com/images/I/51Z86UwmVuL._AC_US100_.jpg | https://m.media-amazon.com/images/I/51I04gQ864L._AC_US100_.jpg,https://www.amazon.com/KitchenClouds-Kitchen-Cushioned-Waterproof-Standing/dp/B09CYDRFWQ/ref=sr_1_2,,no,no
2026-03-04,Kitchen mats,"GENIMO Kitchen Mats for Floor 2PCs, Washable Anti Fatigue Mat for Cushioned, 17.3""x47""+17.3""x30"", Waterproof Kitchen Rugs, Non Slip Comfort Standing Mat Rug for Home, Sink, Laundry, LightTaupeBrown","Well Designed: Meticulously crafted with a focus on quality, GENIMO kitchen mats for floor skillfully intertwine modern, classic, and boho styles, elegantly embodying the sophistication and charm of vintage aesthetics. These kitchen decor and accessories feature intricate floral patterns and fascinating colors that are harmonized in tone, creating a captivating visual experience that enhances any home decor, apartment decor, or house setting—making them true home essentials | Long-lasting & Anti-Fatigue Mat: Crafted with upgraded rebound memory foam, GENIMO anti fatigue kitchen mats offer exceptional foot support, alleviating fatigue in feet, knees, and waist. Whether you're cooking in the kitchen, standing at a standing desk, or working long hours, this floor cushion functions as a reliable desk accessory and kitchen runner, helping to reduce fatigue and pressure. GENIMO kitchen mats are ideal addition to your kitchen essentials for new home or apartment must haves | Waterproof & Oil-proof Mat: Designed with a waterproof and oil-proof surface, GENIMO kitchen rugs are perfect for high-use home and kitchen areas prone to spills. Whether you're cooking or cleaning, these kitchen accessories keep water, oil, and stains off your floor. A practical kitchen essential for new home setups or busy households, they help maintain a clean and organized house decor | Versatile Usage: Available in thoughtfully designed sets of 2, GENIMO kitchen rugs offer tailored versatility to fit kitchens, laundry rooms, entryways, dining areas, offices, apartment spaces, or farmhouse settings. Use them together or individually as laundry room rugs, kitchen runners, or even as soft floor cushions—a flexible solution for anyone building out new home essentials or upgrading their home and kitchen layout | Non Slip & Easy to Clean: Made of high quality wear-resistant PVC material, GENIMO anti fatigue kitchen mats feature a non slip backing and checkered surface that ensures robust traction on a multitude of floor surfaces as well as your feet, alleviating the likelihood of accidental slips. You could simply wipe the washable rug with a damp cloth or vacuum for lasting cleanliness and tidiness",https://m.media-amazon.com/images/I/91ji62lvgkL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/51mjOHv5uIL._AC_US100_.jpg | https://m.media-amazon.com/images/I/51BvtfzRSGL._AC_US100_.jpg | https://m.media-amazon.com/images/I/516PzQgNm3L._AC_US100_.jpg | https://m.media-amazon.com/images/I/41oO9b-41CL._AC_US100_.jpg | https://m.media-amazon.com/images/I/51WsHYnE9DL._AC_US100_.jpg,https://www.amazon.com/GENIMO-Washable-Cushioned-Waterproof-LightTaupeBrown/dp/B0DGTG3W2G/ref=sr_1_3,,no,no
2026-03-04,Pool & spa accessories,"U.S. Pool Supply Floating Spa, Hot Tub & Small Pool Chlorine and Bromine Chemical Dispenser - Holds 1"" Tablets, 13 Flow Level Control Setting","Professional Grade: Heavy-duty weighted floating spa, hot tub, and small pool chlorine and bromine chemical dispenser. It holds 1"" chlorine or bromine tablets. | 13 Control Settings: The 13 adjustable chemical flow control settings make it easy to set the dispenser for worry-free balanced chemical release. | Longer Time Between Refills: Fill it completely, so you can set it and almost forget it. Just a simple turn adjusts it for more chemical delivery. Great for cold winter water, as it can last for months. | Flat Top Weighted Dispenser: The dispenser's flat top allows it to lay flat under solar covers, and the weighted screw on bottom cap prevents the dispenser from getting caught in the spa or hot tub filter. | Buy with Confidence: Backed by a trusted brand dedicated to your satisfaction, we ensure a hassle-free experience every time",https://m.media-amazon.com/images/I/71Y8Nyc6hdL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/31Q2IzBgVyL._AC_US100_.jpg | https://m.media-amazon.com/images/I/51YAG+MrEbL._AC_US100_.jpg | https://m.media-amazon.com/images/I/41MbsOOAyNL._AC_US100_.jpg | https://m.media-amazon.com/images/I/413jLB8PniL._AC_US100_.jpg | https://m.media-amazon.com/images/I/61KS4icy6IL._AC_US100_.jpg,https://www.amazon.com/U-S-Pool-Supply-Floating-Dispenser/dp/B07JZH5QWD/ref=sr_1_2,,no,no
2026-03-04,Pool & spa accessories,"Aquatix Pro Premium Pool & Spa Filter Cartridge Cleaner, Removes Debris & Dirt from Pool Filters in Seconds, Heavy Duty & Durable Pool Cartridge Filter Cleaner, for a Clean Flow of Water Today! (1)","SAVE TIME: Pool cleaning can be a real chore! Aquatix Pro Premium Cartridge Cleaner removes debris and dirt effortlessly for a clean flow of water. | EFFORTLESS: The heavy duty Pool Filter Cleaner gets the job done faster, have your filter cleaned and running in seconds! | BUILT TO LAST: Buy once and never look back! Deluxe Spa Cartridge Cleaner ensures no damage to your filters. | COMPATIBLE: Designed to be compatible with most standard pool filters (filter not included). | OUR PROMISE: We go the extra mile to ensure you are fully satisfied with your purchase. With the Aquatix Pro satisfaction promise you get one year warranty on all our products. If you are not satisfied we will refund you the full price, no questions asked!",https://m.media-amazon.com/images/I/51XNzim6hHL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/41KkSgg+DCL._AC_US100_.jpg | https://m.media-amazon.com/images/I/51IH+T8K7jL._AC_US100_.jpg | https://m.media-amazon.com/images/I/51v5Y7SikQL._AC_US100_.jpg | https://m.media-amazon.com/images/I/61qf04TG7ZL._AC_US100_.jpg | https://m.media-amazon.com/images/I/51XMd7xlhGL._AC_US100_.jpg,https://www.amazon.com/Aquatix-Pro-Premium-Cartridge-Cleaner/dp/B01DWF745I/ref=sr_1_3,,no,no
